RFE_DT,RFE_RF,RFE_XGB,RFE_LGBM,SFM_DT,SFM_RF,SFM_XGB,SFM_LGBM,SKB_CHI,Total,Feature
1,1,1,1,1,1,1,1,1,9,0
1,1,1,1,1,1,1,1,0,8,2
1,1,1,1,1,1,1,1,0,8,3
1,1,1,1,1,1,1,1,0,8,16
1,1,1,1,1,1,1,1,0,8,21
1,1,1,1,1,0,1,1,1,8,614
1,1,1,1,1,1,0,1,0,7,4
1,1,1,1,1,0,1,1,0,7,370
1,1,1,1,1,0,1,1,0,7,7
1,0,1,1,1,0,1,1,1,7,754
1,1,1,1,0,0,1,1,1,7,720
1,1,1,1,1,0,1,1,0,7,178
1,1,1,1,0,0,1,1,0,6,147
0,1,1,1,0,0,1,1,1,6,737
1,1,1,1,1,0,1,0,0,6,138
1,1,1,1,0,0,1,1,0,6,142
1,1,0,1,1,1,0,1,0,6,1
1,1,1,1,0,0,1,1,0,6,163
1,1,1,1,0,0,1,1,0,6,183
1,0,1,1,0,0,1,1,1,6,450
1,1,1,1,0,0,1,1,0,6,110
0,1,1,1,0,0,1,1,1,6,722
0,0,1,1,0,0,1,1,1,5,497
1,1,0,1,1,0,0,1,0,5,20
1,1,1,1,0,0,0,1,0,5,122
1,0,1,1,1,0,0,1,0,5,136
0,0,1,1,0,0,1,1,1,5,292
1,1,1,0,0,0,1,1,0,5,139
0,0,1,1,0,0,1,1,1,5,220
0,0,1,1,0,0,1,1,1,5,293
0,1,1,1,0,0,1,1,0,5,146
1,1,0,1,1,0,0,1,0,5,26
1,0,1,1,0,0,1,0,1,5,364
1,1,0,1,0,0,0,1,0,4,111
1,1,0,1,1,0,0,0,0,4,117
0,0,1,0,0,0,1,1,1,4,36
0,1,1,0,0,0,1,0,1,4,129
1,1,1,0,0,0,1,0,0,4,184
0,1,1,1,0,0,1,0,0,4,132
0,0,1,1,0,0,1,1,0,4,585
0,0,1,1,0,0,1,0,1,4,283
1,1,0,0,1,0,0,0,0,3,165
1,1,0,0,0,0,0,0,1,3,735
0,0,1,0,0,0,1,1,0,3,77
1,1,0,1,0,0,0,0,0,3,519
0,0,1,0,0,0,0,1,1,3,247
1,0,0,1,0,0,0,1,0,3,192
1,1,0,0,1,0,0,0,0,3,173
0,0,1,0,0,0,1,0,1,3,54
0,1,0,0,1,0,0,1,0,3,152
0,1,1,0,0,0,1,0,0,3,160
0,0,1,0,0,0,1,0,0,2,229
0,0,0,1,0,0,1,0,0,2,531
1,1,0,0,0,0,0,0,0,2,133
1,1,0,0,0,0,0,0,0,2,121
1,1,0,0,0,0,0,0,0,2,113
0,0,1,0,0,0,0,0,1,2,28
0,1,0,0,0,0,0,1,0,2,130
0,0,0,0,0,0,1,0,1,2,294
0,0,0,0,1,0,0,0,1,2,135
0,0,1,0,0,0,1,0,0,2,553
0,0,1,0,0,0,1,0,0,2,221
1,1,0,0,0,0,0,0,0,2,156
1,0,0,0,0,0,0,1,0,2,157
0,0,1,0,0,0,1,0,0,2,333
0,1,0,0,0,0,0,0,1,2,176
0,1,0,0,0,0,0,0,1,2,199
0,0,0,0,0,0,1,0,1,2,716
0,0,1,0,0,0,1,0,0,2,175
0,1,0,0,0,0,0,0,1,2,193
0,0,1,0,0,0,1,0,0,2,362
1,1,0,0,0,0,0,0,0,2,98
0,0,1,0,0,0,1,0,0,2,89
0,0,0,1,0,0,0,1,0,2,75
0,1,0,0,0,0,0,0,1,2,363
0,0,0,1,0,0,0,1,0,2,5
0,0,1,0,0,0,1,0,0,2,66
1,1,0,0,0,0,0,0,0,2,100
1,0,0,1,0,0,0,0,0,2,76
0,0,0,1,0,0,0,0,1,2,50
0,0,0,0,0,0,0,0,1,1,194
0,0,0,0,0,0,0,0,1,1,302
1,0,0,0,0,0,0,0,0,1,459
0,0,0,0,0,0,0,0,1,1,190
0,0,0,0,0,0,0,0,1,1,61
0,0,0,0,0,0,0,0,1,1,200
0,0,0,0,0,0,0,0,1,1,415
0,1,0,0,0,0,0,0,0,1,162
0,0,0,0,0,0,0,0,1,1,198
1,0,0,0,0,0,0,0,0,1,103
0,0,0,0,0,0,0,0,1,1,299
0,0,0,0,0,0,1,0,0,1,73
0,0,0,0,0,0,0,0,1,1,298
1,0,0,0,0,0,0,0,0,1,53
0,0,0,0,0,0,1,0,0,1,704
0,1,0,0,0,0,0,0,0,1,434
0,0,0,0,0,0,0,0,1,1,49
1,0,0,0,0,0,0,0,0,1,771
0,0,0,0,0,0,0,0,1,1,772
0,0,0,0,0,0,0,0,1,1,670
0,0,0,1,0,0,0,0,0,1,669
0,0,0,0,0,0,0,0,1,1,569
0,0,1,0,0,0,0,0,0,1,43
0,0,0,0,0,0,0,0,1,1,590
0,0,0,1,0,0,0,0,0,1,261
0,0,0,0,0,0,0,0,1,1,713
1,0,0,0,0,0,0,0,0,1,365
0,0,0,0,0,0,0,0,1,1,74
0,0,0,0,0,0,0,0,1,1,137
1,0,0,0,0,0,0,0,0,1,106
0,0,0,0,0,0,0,0,1,1,107
0,0,0,1,0,0,0,0,0,1,108
0,0,0,0,0,0,0,0,1,1,328
0,0,0,0,0,0,0,0,1,1,326
0,0,0,0,0,0,0,0,1,1,740
0,0,0,0,0,0,0,0,1,1,739
0,0,0,1,0,0,0,0,0,1,749
0,0,0,0,0,0,1,0,0,1,128
0,0,0,0,0,0,0,0,1,1,90
1,0,0,0,0,0,0,0,0,1,81
0,0,0,1,0,0,0,0,0,1,78
1,0,0,0,0,0,0,0,0,1,124
0,0,0,1,0,0,0,0,0,1,604
0,0,0,0,0,0,0,1,0,1,843
0,1,0,0,0,0,0,0,0,1,140
0,0,0,0,0,0,0,1,0,1,150
0,0,0,0,0,0,0,0,0,0,561
0,0,0,0,0,0,0,0,0,0,515
0,0,0,0,0,0,0,0,0,0,500
0,0,0,0,0,0,0,0,0,0,559
0,0,0,0,0,0,0,0,0,0,429
0,0,0,0,0,0,0,0,0,0,494
0,0,0,0,0,0,0,0,0,0,511
0,0,0,0,0,0,0,0,0,0,499
0,0,0,0,0,0,0,0,0,0,544
0,0,0,0,0,0,0,0,0,0,507
0,0,0,0,0,0,0,0,0,0,586
0,0,0,0,0,0,0,0,0,0,595
0,0,0,0,0,0,0,0,0,0,427
0,0,0,0,0,0,0,0,0,0,599
0,0,0,0,0,0,0,0,0,0,601
0,0,0,0,0,0,0,0,0,0,463
0,0,0,0,0,0,0,0,0,0,424
0,0,0,0,0,0,0,0,0,0,551
0,0,0,0,0,0,0,0,0,0,520
0,0,0,0,0,0,0,0,0,0,505
0,0,0,0,0,0,0,0,0,0,438
0,0,0,0,0,0,0,0,0,0,526
0,0,0,0,0,0,0,0,0,0,442
0,0,0,0,0,0,0,0,0,0,518
0,0,0,0,0,0,0,0,0,0,488
0,0,0,0,0,0,0,0,0,0,605
0,0,0,0,0,0,0,0,0,0,439
0,0,0,0,0,0,0,0,0,0,460
0,0,0,0,0,0,0,0,0,0,495
0,0,0,0,0,0,0,0,0,0,503
0,0,0,0,0,0,0,0,0,0,489
0,0,0,0,0,0,0,0,0,0,504
0,0,0,0,0,0,0,0,0,0,471
0,0,0,0,0,0,0,0,0,0,537
0,0,0,0,0,0,0,0,0,0,492
0,0,0,0,0,0,0,0,0,0,437
0,0,0,0,0,0,0,0,0,0,506
0,0,0,0,0,0,0,0,0,0,433
0,0,0,0,0,0,0,0,0,0,782
0,0,0,0,0,0,0,0,0,0,611
0,0,0,0,0,0,0,0,0,0,756
0,0,0,0,0,0,0,0,0,0,742
0,0,0,0,0,0,0,0,0,0,743
0,0,0,0,0,0,0,0,0,0,785
0,0,0,0,0,0,0,0,0,0,744
0,0,0,0,0,0,0,0,0,0,745
0,0,0,0,0,0,0,0,0,0,746
0,0,0,0,0,0,0,0,0,0,747
0,0,0,0,0,0,0,0,0,0,748
0,0,0,0,0,0,0,0,0,0,750
0,0,0,0,0,0,0,0,0,0,751
0,0,0,0,0,0,0,0,0,0,752
0,0,0,0,0,0,0,0,0,0,753
0,0,0,0,0,0,0,0,0,0,783
